employee_id,name,department,role,age,salary,experience_years,joining_date,performance_score,city,monthly_sales,training_hours,attrition_risk
1,Employee 1,Support,Software Engineer,32,42537,8,2016-01-18,68,Pune,10321,9,Medium
2,Employee 2,Operations,Data Analyst,43,58874,17,2016-02-04,81,Ahmedabad,10642,18,Low
3,Employee 3,Finance,Software Engineer,29,39211,6,2016-02-21,94,Noida,10963,27,Low
4,Employee 4,Engineering,Data Analyst,40,55548,15,2016-03-09,62,Bengaluru,11284,36,Medium
5,Employee 5,Marketing,Software Engineer,26,35885,4,2016-03-26,75,Chennai,11605,45,Medium
6,Employee 6,HR,Data Analyst,37,52222,13,2016-04-12,88,Jaipur,11926,54,Low
7,Employee 7,Sales,Software Engineer,23,28959,0,2016-04-29,56,Mumbai,12247,63,Medium
8,Employee 8,Analytics,Data Analyst,34,48896,11,2016-05-16,69,Hyderabad,12568,72,Medium
9,Employee 9,Support,Software Engineer,45,65233,20,2016-06-02,82,Kolkata,12889,1,Low
10,Employee 10,Operations,Data Analyst,31,45570,9,2016-06-19,95,Delhi,13210,10,Low
11,Employee 11,Finance,Software Engineer,42,61907,18,2016-07-06,63,Pune,13531,19,High
12,Employee 12,Engineering,Data Analyst,28,33244,2,2016-07-23,76,Ahmedabad,13852,28,Medium
13,Employee 13,Marketing,Software Engineer,39,58581,16,2016-08-09,89,Noida,14173,37,Low
14,Employee 14,HR,Data Analyst,25,29918,0,2016-08-26,57,Bengaluru,14494,46,Medium
15,Employee 15,Sales,Software Engineer,36,55255,14,2016-09-12,70,Chennai,14815,55,Medium
16,Employee 16,Analytics,Data Analyst,22,30192,0,2016-09-29,83,Jaipur,15136,64,Low
17,Employee 17,Support,Software Engineer,33,42929,7,2016-10-16,96,Mumbai,15457,73,Low
18,Employee 18,Operations,Data Analyst,44,68266,21,2016-11-02,64,Hyderabad,15778,2,High
19,Employee 19,Finance,Software Engineer,30,39603,5,2016-11-19,77,Kolkata,16099,11,Medium
20,Employee 20,Engineering,Data Analyst,41,64940,19,2016-12-06,90,Delhi,16420,20,Low
21,Employee 21,Marketing,Software Engineer,27,36277,3,2016-12-23,58,Pune,16741,29,Medium
22,Employee 22,HR,Data Analyst,38,52614,12,2017-01-09,71,Ahmedabad,17062,38,Medium
23,Employee 23,Sales,Software Engineer,24,32951,1,2017-01-26,84,Noida,17383,47,Low
24,Employee 24,Analytics,Data Analyst,35,49288,10,2017-02-12,97,Bengaluru,17704,56,Low
25,Employee 25,Support,Software Engineer,21,31425,0,2017-03-01,65,Chennai,18025,65,Medium
26,Employee 26,Operations,Data Analyst,32,45962,8,2017-03-18,78,Jaipur,18346,74,Low
27,Employee 27,Finance,Software Engineer,43,62299,17,2017-04-04,91,Mumbai,18667,3,Low
28,Employee 28,Engineering,Data Analyst,29,42636,6,2017-04-21,59,Hyderabad,18988,12,High
29,Employee 29,Marketing,Software Engineer,40,58973,15,2017-05-08,72,Kolkata,19309,21,Medium
30,Employee 30,HR,Data Analyst,26,39310,4,2017-05-25,85,Delhi,19630,30,Low
31,Employee 31,Sales,Software Engineer,37,55647,13,2017-06-11,98,Pune,19951,39,Low
